"№ по прежней ведомости","№ по настоящей ведомости","Время вступления","Содержание дел","За чем остаются нерешенными"
"25","14","15 октября","О истребовании объяснения от чиновника Катаева, Ачинского Земского суда и Назаровского Волостного правления по делу о поселенце Семене Егорове, обвиняемом в намерении произвести смертоубийство и грабеж в доме крестьянина Корелина","За неполучением удовлетворительного уведомления от Тобольского Губернского правления на отношение от 31 октября 1851 г., повторенное 29 февраля 1852 г."
"28","15","26","О несвоевременно зачисленных и не высланных на срок в Красноярскую роту военных кантонистов солдатских детей Кудринове и других, всего 13 человек","Рассматривается"
"29","16","2 ноября","О истребовании объяснения от Ачинского Земского суда о беспорядках его по делу о упуске арестантов Павлова и Непомнющего","За неполучением уведомлений от Губернских правлений Иркутского, Тобольского и Саратовского на отношение от 11 марта 1852 г. и донесений на указы от оного же числа от Енисейского Земского суда и Ачинской Полицейской управы"
"32","17","1847
2 января","О выдаче бланковых билетов на взымание обывательских лошадей","За несобранием всех сведений о расходе и употреблении бланковых билетов и неокончанием поверки их"
"35","18","20","О приведении в должную исправность найденных г. Енисейским Гражданским Губернатором беспорядков при ревизии Ачинских присутственных мест и о проч.","За неполучением донесений на указы от 26 марта 1852 г. от Ачинских Земского и Окружного судов, Полицейской управы и Городовой Ратуши"
"37","19","10 марта","О неправильных действиях Ачинской Полицейской управы в отношении отвода еврею Гофману места для постройки мыловаренного завода","Рассматривается"
"38","20","12 апреля","О производстве следствия о несвоевременном зачислении в Красноярскую роту кантонистов солдатских детей Донникова, Назарова, Полежаева и Еремеева","Рассматривается"
