"№ по прежней ведомости","№ по настоящей ведомости","Время вступления","Содержание дел","За чем остаются нерешенными"
"39","21","5 июня","О понуждении красноярского Полицеймейстера к выполнению требований Томской Общей Городовой управы о высылке в Омский батальон военных кантонистов еврейского сына Моисея Левинского","За неполучением разрешения от г. Енисейского Гражданского Губернатора на представление от 5 марта 1852 г. и уведомлений от Енисейской Экспедиции о ссыльных на отношение от того же числа"
"40","22","3 июля","О пропущенном кантонисте Тите Соломатове","Рассматривается"
"41","23","17","О производстве следствия о несвоевременном объявлении о рождении солдатских детей Таратанове и Бугаеве и о несвоевременном доставлении их в Красноярскую роту военных кантонистов","Рассматривается"
"44","24","28 октября","О несвоевременном зачислении в Красноярскую роту военных кантонистов солдатских сыновей Ивана Бурмакина и проч., всего 20 человек","Рассматривается"
"46","25","31 октября","О исходатайствовании уволенному от службы Коллежскому Асессору Тарасову пенсии","По делу сему приготавливается Присутствию доклад"
"47","26","3 ноября","О записке в податное состояние исключенных из военного ведомства сыновей отставных нижних воинских чинов Александра Винокурова и Александра Ковригина и об открытии виновных в несвоевременном причислении Винокурова к роте кантонистов","За неполучением от Красноярского Земского суда исполнительного донесения на указ от 20 марта 1852 г."
