"№ по прежней ведомости","№ по настоящей ведомости","Время вступления","Содержание дел","За чем остаются нерешенными"
"","41","9 июля","О высылке из города Красноярска в село Рыбинское Канского округа исправляющего должность тамошнего волостного писаря чиновника Федора Начапинского","За неполучением от Красноярской Общей Городовой управы исполнительного донесения на указ от 13 сентября 1851 г., подтвержденного 14 марта 1852 г."
"","42","11 августа","О раздаче семнадцати паспортов на отставку бессрочноотпускным нижним чинам","За неполучением исполнительных донесений от Земских судов Минусинского, Ачинского, Енисейского и Красноярского и Горного Исправника Бирюсинской системы на указы от 5 октября 1851 г."
"","43","12 сентября","О истребовании от членов Ачинских Окружного и Земского судов объяснений по делу о беглом Дементье Иванове Веселкове и о прочем","За неполучением донесений от Ачинской Полицейской управы, Минусинского Окружного суда и Ачинского Земского суда на указы от 30 сентября 1849 г."
"","44","25 сентября","О доставлении Его Превосходительству сведений относительно имений камерах Губернского управления полиций, Городнических правлений, Градских дум и Земских судов, Высочайше утвержденных планов городов, карты уездов и наблюдении за сим","Рассматривается"
"","45","4 сентября","О собрании сведений о производстве по приложенной при предложении г-на Начальника губернии ведомости о 30 делах исследования, порученных разным местам и лицам, и куда таковые поступили","За неполучением удовлетворительных уведомлений от Губернских правлений Вятского и Тобольского на отношение от 13 сентября 1851 г., повторенное 31 октября того же года и марта 26 1852 г., и донесения от Ачинского Земского суда на указ от 26 марта 1852 г."
"","46","23","О истребовании от Красноярского окружного суда объяснения по делу о поселенце Иване Чигинцове, обвиняемом в убийстве","За неудовлетворением Тобольским Губернским правлением отношения от 16 апреля 1852 г., повторенного 26 мая и 27 августа, о содействии по этому делу представлено г. Енисейскому Гражданскому Губернатору того же 27 августа"
