"№ по прежней ведомости","№ по настоящей ведомости","Время вступления","Содержание дел","За чем остаются нерешенными"
"50","27","15 ноября","О замечаниях по ревизии г. Начальника губернии Енисейских Присутственных мест","Состоит в рассмотрении"
"51","28","22","О принятии мер к немедленному исправлению замеченных Комиссией для ревизий Государственных имуществ и г. Сенатором Толстым беспорядков","За неполучением донесений от Земских судов Енисейского Канского, Енисейского Окружного Начальника и Смотрителей поселений Красноярского и Енисейского, Минусинского, Ачинского, Канского округов на указы от 11 марта 1852 г."
"","29","1848
20 января","О выдаче в 1848 г. бланковых билетов на взыскание обывательских лошадей","За неполучением некоторых сведений о расходе и употреблении бланковых билетов"
"","30","10 февраля","О замечаниях г. Министра внутренних дел по отчету за 1846 г.","За неполучением исполнительного донесения от Канской Полицейской управы на указ от 22 апреля 1849 г., строжайше подтвержденного 14 марта 1851 г. и 29 февраля 1852 г."
"","31","–","О пропущенном по спискам кантонисте Терентие Анашкине","Рассматривается"
"","32","–","Об открытом солдатском сыне Игнате Ситникове, не записанном по спискам кантонистов","Рассматривается"
"","33","10 февраля","О пропущенном по спискам кантонисте Артемье Сиротинине","Рассматривается"
"","34","3 марта","О производстве следствия об открытии виновных в несвоевременном объявлении о рождении солдатских детей Тита Соломатова, Марка и Федора Анашиных, Василья Анашкина, Данила Сырипольщикова и Семена Максимовского","Рассматривается"
