"№ по прежней ведомости","№ по настоящей ведомости","Время вступления","Содержание дел","За чем остаются нерешенными"
"14","7","–","О приведении в исполнение журнала Енисейского Губернского совета по делу о исправлявшем должность Енисейского Городничего Мичурине, обвинявшемся в продержании у себя поселенца Карла Карлова и брата его Ивана и проч.","Рассматривается"
"15","8","29 июля","О выдаче нижним чинам инвалидам 19 пенсионных билетов","По этому делу приготавливается Присутствию доклад"
"20","9","3 июля","О несвоевременном зачислении в Военное ведомство сына рядового Дмитрия Арефьева Данилы","Рассматривается"
"21","10","9 июля","Относительно производства следствий об открытии виновных в несвоевременном объявлении о рождении солдатских детей Федора Кузмина и прочих 7 человек и о зачислении их в Красноярскую роту военных кантонистов","За неполучением разрешения от г. Енисейского Гражданского Губернатора на представление от 4 марта 1852 г."
"22","1","30","О несвоевременном объявлении незаконнорожденного солдаткой Матреной Мавриной сына Ивана и других","За неполучением донесения от Минусинского Земского суда на указ от 23 января 1852 г."
"23","12","20 августа","О взыскиваемых крестьянскою вдовою Дарьею Высовичевой с опекунов Подышагиных и о проч.","За неполучением исполнительного донесения от Красноярской Общей Городовой управы на указ от 26 марта 1852 г."
"24","13","6 сентября","О истребовании от чинов Ачинского Земского суда объяснений о беспорядках по делу о поселенцах Бушуеве и Краснопольском, виновных в причислении по Ачинскому округу Пермской губернии крестьянина Лямина","За неполучением исполнительного донесения от Ачинского Земского Исправника на указ от 23 июля 1851 г., строжайше подтвержденный 29 февраля 1852 г."
